Wavelength(nm),PHATh
934.096,0.188
934.393,0.188
934.69,0.189
934.986,0.19
935.283,0.19
935.58,0.19
935.877,0.19
936.173,0.19
936.47,0.191
936.766,0.191
937.063,0.193
937.359,0.193
937.655,0.194
937.951,0.194
938.248,0.194
938.544,0.195
938.84,0.195
939.136,0.197
939.432,0.198
939.728,0.2
940.024,0.202
940.32,0.203
940.615,0.205
940.911,0.205
941.207,0.205
941.502,0.206
941.798,0.207
942.093,0.208
942.389,0.207
942.684,0.207
942.98,0.208
943.275,0.209
943.57,0.209
943.865,0.21
944.16,0.21
944.455,0.21
944.75,0.212
945.045,0.213
945.34,0.212
945.635,0.213
945.93,0.212
946.225,0.213
946.519,0.212
946.814,0.213
947.109,0.213
947.403,0.213
947.698,0.213
947.992,0.212
948.286,0.212
948.581,0.211
948.875,0.211
949.169,0.21
949.463,0.21
949.757,0.21
950.051,0.209
950.345,0.209
950.639,0.21
950.933,0.21
951.227,0.209
951.521,0.209
951.814,0.209
952.108,0.208
952.402,0.208
952.695,0.208
952.989,0.208
953.282,0.209
953.575,0.208
953.869,0.208
954.162,0.209
954.455,0.21
954.748,0.209
955.042,0.209
955.335,0.208
955.628,0.208
955.921,0.208
956.213,0.208
956.506,0.208
956.799,0.207
957.092,0.207
957.384,0.208
957.677,0.207
957.97,0.208
958.262,0.208
958.555,0.209
958.847,0.208
959.139,0.209
959.432,0.21
959.724,0.209
960.016,0.21
960.308,0.21
960.6,0.21
960.892,0.211
961.184,0.211
961.476,0.211
961.768,0.211
962.06,0.212
962.352,0.212
962.643,0.213
962.935,0.213
963.226,0.213
963.518,0.214
963.809,0.214
964.101,0.215
964.392,0.215
964.683,0.215
964.975,0.216
965.266,0.216
965.557,0.217
965.848,0.218
966.139,0.217
966.43,0.218
966.721,0.219
967.012,0.22
967.303,0.221
967.594,0.222
967.884,0.223
968.175,0.224
968.465,0.225
968.756,0.225
969.046,0.226
969.337,0.226
969.627,0.227
969.918,0.226
970.208,0.226
970.498,0.227
970.788,0.228
971.078,0.229
971.368,0.228
971.658,0.23
971.948,0.231
972.238,0.232
972.528,0.232
972.818,0.232
973.107,0.232
973.397,0.233
973.687,0.234
973.976,0.234
974.266,0.233
974.555,0.233
974.845,0.234
975.134,0.234
975.423,0.235
975.712,0.235
976.002,0.235
976.291,0.237
976.58,0.238
976.869,0.241
977.158,0.242
977.447,0.243
977.735,0.243
978.024,0.245
978.313,0.244
978.602,0.244
978.89,0.246
979.179,0.247
979.467,0.247
979.756,0.247
980.044,0.247
980.332,0.248
980.621,0.248
980.909,0.247
981.197,0.247
981.485,0.248
981.773,0.251
982.061,0.25
982.349,0.25
982.637,0.25
982.925,0.25
983.213,0.251
983.501,0.251
983.788,0.249
984.076,0.25
984.363,0.25
984.651,0.251
984.938,0.253
985.226,0.255
985.513,0.255
985.8,0.256
986.088,0.259
986.375,0.258
986.662,0.26
986.949,0.265
987.236,0.264
987.523,0.267
987.81,0.269
988.097,0.269
988.384,0.267
988.67,0.264
988.957,0.265
989.244,0.265
989.53,0.267
989.817,0.267
990.103,0.273
990.39,0.278
990.676,0.277
990.962,0.279
991.248,0.28
991.535,0.282
991.821,0.286
992.107,0.287
992.393,0.288
992.679,0.295
992.965,0.295
993.251,0.299
993.536,0.3
993.822,0.308
994.108,0.313
994.393,0.312
994.679,0.311
994.964,0.31
995.25,0.308
995.535,0.313
995.821,0.316
996.106,0.32
996.391,0.321
996.676,0.321
996.962,0.321
997.247,0.326
997.532,0.332
997.817,0.332
998.102,0.339
998.386,0.342
998.671,0.334
998.956,0.338
999.241,0.333
999.525,0.336
999.81,0.34
1000.094,0.347
1000.379,0.349
1000.663,0.355
1000.948,0.355
1001.232,0.353
1001.516,0.36
1001.8,0.353
1002.084,0.352
1002.369,0.353
1002.653,0.36
1002.936,0.364
1003.22,0.365
1003.504,0.363
1003.788,0.367
1004.072,0.377
1004.355,0.366
1004.639,0.375
1004.923,0.369
1005.206,0.375
1005.49,0.377
1005.773,0.376
1006.056,0.385
1006.34,0.383
1006.623,0.399
1006.906,0.416
1007.189,0.42
1007.472,0.417
1007.755,0.426
1008.038,0.431
1008.321,0.436
1008.604,0.441
1008.887,0.447
1009.17,0.452
1009.452,0.456
1009.735,0.445
1010.017,0.453
1010.3,0.485
1010.582,0.5
1010.865,0.517
1011.147,0.52
1011.429,0.522
1011.712,0.522
1011.994,0.521
1012.276,0.509
1012.558,0.514
1012.84,0.515
1013.122,0.508
1013.404,0.519
1013.686,0.514
1013.968,0.532
1014.249,0.528
1014.531,0.534
1014.813,0.542
1015.094,0.555
1015.376,0.555
1015.657,0.538
1015.939,0.549
1016.22,0.552
1016.501,0.559
1016.782,0.554
1017.064,0.548
1017.345,0.55
1017.626,0.549
1017.907,0.571
1018.188,0.559
1018.469,0.548
1018.749,0.549
1019.03,0.561
1019.311,0.554
1019.592,0.549
1019.872,0.561
1020.153,0.564
1020.433,0.554
1020.714,0.54
1020.994,0.548
1021.274,0.57
1021.555,0.563
