Wavelength(nm),PHAN
934.096,0.274
934.393,0.275
934.69,0.276
934.986,0.276
935.283,0.278
935.58,0.279
935.877,0.28
936.173,0.281
936.47,0.281
936.766,0.282
937.063,0.283
937.359,0.283
937.655,0.284
937.951,0.285
938.248,0.287
938.544,0.289
938.84,0.29
939.136,0.291
939.432,0.292
939.728,0.295
940.024,0.296
940.32,0.298
940.615,0.301
940.911,0.302
941.207,0.304
941.502,0.306
941.798,0.308
942.093,0.309
942.389,0.311
942.684,0.312
942.98,0.313
943.275,0.314
943.57,0.315
943.865,0.316
944.16,0.317
944.455,0.318
944.75,0.319
945.045,0.319
945.34,0.319
945.635,0.319
945.93,0.317
946.225,0.316
946.519,0.313
946.814,0.311
947.109,0.309
947.403,0.307
947.698,0.306
947.992,0.304
948.286,0.303
948.581,0.301
948.875,0.301
949.169,0.3
949.463,0.301
949.757,0.3
950.051,0.3
950.345,0.299
950.639,0.297
950.933,0.296
951.227,0.295
951.521,0.294
951.814,0.292
952.108,0.289
952.402,0.287
952.695,0.286
952.989,0.285
953.282,0.282
953.575,0.282
953.869,0.281
954.162,0.281
954.455,0.281
954.748,0.279
955.042,0.277
955.335,0.276
955.628,0.275
955.921,0.275
956.213,0.275
956.506,0.274
956.799,0.275
957.092,0.276
957.384,0.275
957.677,0.275
957.97,0.275
958.262,0.275
958.555,0.276
958.847,0.276
959.139,0.278
959.432,0.278
959.724,0.278
960.016,0.279
960.308,0.278
960.6,0.28
960.892,0.279
961.184,0.279
961.476,0.28
961.768,0.281
962.06,0.28
962.352,0.282
962.643,0.282
962.935,0.282
963.226,0.283
963.518,0.282
963.809,0.283
964.101,0.285
964.392,0.285
964.683,0.287
964.975,0.287
965.266,0.29
965.557,0.29
965.848,0.291
966.139,0.294
966.43,0.294
966.721,0.295
967.012,0.297
967.303,0.298
967.594,0.299
967.884,0.301
968.175,0.302
968.465,0.304
968.756,0.304
969.046,0.304
969.337,0.305
969.627,0.307
969.918,0.308
970.208,0.309
970.498,0.311
970.788,0.311
971.078,0.31
971.368,0.312
971.658,0.314
971.948,0.313
972.238,0.315
972.528,0.316
972.818,0.317
973.107,0.319
973.397,0.32
973.687,0.321
973.976,0.322
974.266,0.324
974.555,0.326
974.845,0.329
975.134,0.331
975.423,0.336
975.712,0.339
976.002,0.343
976.291,0.346
976.58,0.348
976.869,0.353
977.158,0.355
977.447,0.359
977.735,0.361
978.024,0.362
978.313,0.366
978.602,0.369
978.89,0.372
979.179,0.374
979.467,0.379
979.756,0.383
980.044,0.387
980.332,0.39
980.621,0.393
980.909,0.399
981.197,0.399
981.485,0.401
981.773,0.405
982.061,0.412
982.349,0.414
982.637,0.42
982.925,0.422
983.213,0.426
983.501,0.426
983.788,0.434
984.076,0.443
984.363,0.452
984.651,0.463
984.938,0.467
985.226,0.473
985.513,0.481
985.8,0.488
986.088,0.496
986.375,0.508
986.662,0.517
986.949,0.524
987.236,0.528
987.523,0.539
987.81,0.546
988.097,0.555
988.384,0.562
988.67,0.568
988.957,0.577
989.244,0.587
989.53,0.592
989.817,0.595
990.103,0.598
990.39,0.613
990.676,0.624
990.962,0.631
991.248,0.623
991.535,0.629
991.821,0.638
992.107,0.652
992.393,0.67
992.679,0.681
992.965,0.71
993.251,0.731
993.536,0.741
993.822,0.738
994.108,0.76
994.393,0.78
994.679,0.825
994.964,0.851
995.25,0.884
995.535,0.877
995.821,0.884
996.106,0.883
996.391,0.867
996.676,0.902
996.962,0.908
997.247,0.937
997.532,0.961
997.817,0.968
998.102,0.977
998.386,0.979
998.671,0.996
998.956,1.046
999.241,1.049
999.525,1.068
999.81,1.099
1000.094,1.124
1000.379,1.17
1000.663,1.182
1000.948,1.198
1001.232,1.313
1001.516,1.361
1001.8,1.457
1002.084,1.404
1002.369,1.389
1002.653,1.7
1002.936,2.041
1003.22,0
1003.504,4.217
1003.788,0
1004.072,0
1004.355,0
1004.639,0
1004.923,0
1005.206,0
1005.49,0
1005.773,0
1006.056,0
1006.34,0
1006.623,0
1006.906,0
1007.189,0
1007.472,0
1007.755,0
1008.038,0
1008.321,0
1008.604,0
1008.887,0
1009.17,0
1009.452,0
1009.735,0
1010.017,0
1010.3,0
1010.582,0
1010.865,0
1011.147,0
1011.429,0
1011.712,0
1011.994,0
1012.276,0
1012.558,0
1012.84,0
1013.122,0
1013.404,0
1013.686,0
1013.968,0
1014.249,0
1014.531,0
1014.813,0
1015.094,0
1015.376,0
1015.657,0
1015.939,0
1016.22,0
1016.501,0
1016.782,0
1017.064,0
1017.345,0
1017.626,0
1017.907,0
1018.188,0
1018.469,0
1018.749,0
1019.03,0
1019.311,0
1019.592,0
1019.872,0
1020.153,0
1020.433,0
1020.714,0
1020.994,0
1021.274,0
1021.555,0
