Wavelength(nm),PHAN
489.42,1.208
489.783,1.202
490.146,1.196
490.509,1.19
490.872,1.184
491.235,1.178
491.598,1.171
491.961,1.165
492.324,1.158
492.687,1.152
493.05,1.145
493.412,1.139
493.775,1.132
494.138,1.125
494.5,1.118
494.863,1.111
495.225,1.105
495.588,1.098
495.95,1.091
496.312,1.084
496.675,1.077
497.037,1.07
497.399,1.063
497.761,1.056
498.123,1.049
498.486,1.042
498.848,1.035
499.21,1.028
499.572,1.021
499.933,1.014
500.295,1.007
500.657,1
501.019,0.993
501.381,0.985
501.742,0.978
502.104,0.971
502.466,0.963
502.827,0.956
503.189,0.948
503.55,0.941
503.911,0.934
504.273,0.926
504.634,0.918
504.995,0.911
505.357,0.903
505.718,0.895
506.079,0.887
506.44,0.879
506.801,0.87
507.162,0.862
507.523,0.854
507.884,0.845
508.245,0.836
508.606,0.827
508.967,0.819
509.327,0.81
509.688,0.8
510.049,0.791
510.409,0.782
510.77,0.772
511.13,0.763
511.491,0.753
511.851,0.744
512.212,0.734
512.572,0.724
512.932,0.714
513.293,0.704
513.653,0.694
514.013,0.684
514.373,0.674
514.733,0.664
515.093,0.654
515.453,0.644
515.813,0.634
516.173,0.624
516.533,0.614
516.892,0.604
517.252,0.595
517.612,0.585
517.972,0.575
518.331,0.565
518.691,0.556
519.05,0.546
519.41,0.537
519.769,0.527
520.129,0.518
520.488,0.509
520.847,0.5
521.206,0.491
521.566,0.482
521.925,0.473
522.284,0.465
522.643,0.457
523.002,0.449
523.361,0.441
523.72,0.433
524.079,0.426
524.438,0.418
524.797,0.411
525.155,0.404
525.514,0.397
525.873,0.39
526.231,0.383
526.59,0.377
526.948,0.37
527.307,0.364
527.665,0.358
528.024,0.353
528.382,0.347
528.74,0.342
529.099,0.336
529.457,0.331
529.815,0.326
530.173,0.321
530.531,0.317
530.889,0.313
531.247,0.308
531.605,0.304
531.963,0.3
532.321,0.296
532.679,0.293
533.036,0.289
533.394,0.286
533.752,0.283
534.109,0.28
534.467,0.277
534.824,0.274
535.182,0.271
535.539,0.269
535.897,0.266
536.254,0.264
536.611,0.262
536.969,0.26
537.326,0.258
537.683,0.255
538.04,0.254
538.397,0.252
538.754,0.25
539.111,0.249
539.468,0.247
539.825,0.246
540.182,0.245
540.539,0.244
540.895,0.243
541.252,0.242
541.609,0.241
541.965,0.24
542.322,0.239
542.678,0.239
543.035,0.238
543.391,0.238
543.748,0.238
544.104,0.237
544.46,0.237
544.817,0.237
545.173,0.237
545.529,0.237
545.885,0.237
546.241,0.237
546.597,0.237
546.953,0.238
547.309,0.238
547.665,0.239
548.021,0.239
548.377,0.239
548.732,0.24
549.088,0.241
549.444,0.241
549.799,0.242
550.155,0.243
550.51,0.243
550.866,0.244
551.221,0.245
551.577,0.246
551.932,0.247
552.287,0.248
552.643,0.249
552.998,0.25
553.353,0.252
553.708,0.253
554.063,0.254
554.418,0.255
554.773,0.257
555.128,0.258
555.483,0.259
555.838,0.261
556.192,0.262
556.547,0.264
556.902,0.265
557.257,0.267
557.611,0.269
557.966,0.27
558.32,0.272
558.675,0.274
559.029,0.275
559.383,0.277
559.738,0.278
560.092,0.28
560.446,0.282
560.8,0.283
561.155,0.285
561.509,0.287
561.863,0.288
562.217,0.29
562.571,0.292
562.925,0.294
563.278,0.295
563.632,0.297
563.986,0.299
564.34,0.301
564.693,0.303
565.047,0.304
565.401,0.306
565.754,0.308
566.108,0.31
566.461,0.312
566.815,0.313
567.168,0.315
567.521,0.317
567.874,0.319
568.228,0.32
568.581,0.322
568.934,0.324
569.287,0.326
569.64,0.328
569.993,0.33
570.346,0.331
570.699,0.333
571.052,0.335
571.405,0.337
571.757,0.338
572.11,0.34
572.463,0.342
572.815,0.343
573.168,0.345
573.52,0.347
573.873,0.348
574.225,0.35
574.578,0.352
574.93,0.354
575.282,0.355
575.635,0.357
575.987,0.359
576.339,0.361
576.691,0.363
577.043,0.364
577.395,0.366
577.747,0.368
578.099,0.37
578.451,0.372
578.803,0.373
579.154,0.375
579.506,0.377
579.858,0.38
580.209,0.382
580.561,0.384
580.913,0.386
581.264,0.388
581.616,0.391
581.967,0.393
582.318,0.396
582.67,0.398
583.021,0.4
583.372,0.403
583.723,0.406
584.074,0.408
584.426,0.411
584.777,0.414
585.128,0.417
585.479,0.42
585.829,0.423
586.18,0.427
586.531,0.43
586.882,0.433
587.233,0.437
587.583,0.44
587.934,0.444
588.284,0.448
588.635,0.452
588.985,0.456
589.336,0.46
589.686,0.464
590.037,0.468
590.387,0.473
590.737,0.477
591.087,0.482
591.437,0.487
591.788,0.492
592.138,0.497
592.488,0.502
592.838,0.508
593.188,0.513
593.537,0.519
593.887,0.524
594.237,0.53
594.587,0.536
594.936,0.542
595.286,0.548
595.636,0.554
595.985,0.56
596.335,0.567
596.684,0.573
597.034,0.58
597.383,0.587
597.732,0.594
598.081,0.601
598.431,0.608
598.78,0.615
599.129,0.622
599.478,0.63
599.827,0.637
600.176,0.644
600.525,0.652
600.874,0.659
601.223,0.667
601.572,0.675
601.92,0.682
602.269,0.69
602.618,0.698
602.966,0.705
603.315,0.713
603.663,0.721
604.012,0.729
604.36,0.736
604.709,0.744
605.057,0.751
605.405,0.759
605.753,0.766
606.102,0.774
606.45,0.781
606.798,0.788
607.146,0.795
607.494,0.802
607.842,0.809
608.19,0.816
608.538,0.822
608.885,0.829
609.233,0.835
609.581,0.841
609.929,0.847
610.276,0.853
610.624,0.859
610.971,0.864
611.319,0.87
611.666,0.875
612.014,0.879
612.361,0.884
612.708,0.889
613.056,0.893
613.403,0.897
613.75,0.901
614.097,0.905
614.444,0.908
614.791,0.912
615.138,0.915
615.485,0.917
615.832,0.92
616.179,0.923
616.525,0.925
616.872,0.927
617.219,0.929
617.566,0.931
617.912,0.933
618.259,0.934
618.605,0.936
618.952,0.937
619.298,0.938
619.644,0.939
619.991,0.94
620.337,0.941
620.683,0.942
621.029,0.943
621.375,0.944
621.721,0.944
622.067,0.944
622.413,0.944
622.759,0.945
623.105,0.945
623.451,0.945
623.797,0.945
624.143,0.945
624.488,0.945
624.834,0.945
625.18,0.944
625.525,0.944
625.871,0.944
626.216,0.944
626.561,0.943
626.907,0.943
627.252,0.943
627.597,0.943
627.943,0.943
628.288,0.943
628.633,0.943
628.978,0.943
629.323,0.943
629.668,0.943
630.013,0.944
630.358,0.944
630.703,0.944
631.047,0.945
631.392,0.945
631.737,0.946
632.082,0.947
632.426,0.948
632.771,0.948
633.115,0.949
633.46,0.95
633.804,0.951
634.148,0.952
634.493,0.954
634.837,0.955
635.181,0.957
635.525,0.959
635.87,0.961
636.214,0.963
636.558,0.965
636.902,0.968
637.246,0.971
637.589,0.974
637.933,0.977
638.277,0.98
638.621,0.984
638.965,0.987
639.308,0.991
639.652,0.996
639.995,1
640.339,1.005
640.682,1.01
641.026,1.015
641.369,1.02
641.712,1.026
642.056,1.032
642.399,1.038
