Wavelength(nm),PHAT
489.42,0.944
489.783,0.954
490.146,0.965
490.509,0.976
490.872,0.986
491.235,0.997
491.598,1.008
491.961,1.018
492.324,1.029
492.687,1.039
493.05,1.05
493.412,1.06
493.775,1.071
494.138,1.081
494.5,1.091
494.863,1.101
495.225,1.111
495.588,1.121
495.95,1.131
496.312,1.14
496.675,1.149
497.037,1.158
497.399,1.167
497.761,1.176
498.123,1.184
498.486,1.193
498.848,1.201
499.21,1.208
499.572,1.216
499.933,1.223
500.295,1.23
500.657,1.237
501.019,1.243
501.381,1.249
501.742,1.255
502.104,1.261
502.466,1.266
502.827,1.272
503.189,1.277
503.55,1.281
503.911,1.286
504.273,1.29
504.634,1.294
504.995,1.297
505.357,1.301
505.718,1.304
506.079,1.307
506.44,1.31
506.801,1.312
507.162,1.315
507.523,1.317
507.884,1.319
508.245,1.322
508.606,1.324
508.967,1.325
509.327,1.327
509.688,1.329
510.049,1.33
510.409,1.332
510.77,1.333
511.13,1.334
511.491,1.336
511.851,1.337
512.212,1.338
512.572,1.339
512.932,1.341
513.293,1.342
513.653,1.343
514.013,1.344
514.373,1.345
514.733,1.346
515.093,1.348
515.453,1.349
515.813,1.35
516.173,1.352
516.533,1.354
516.892,1.355
517.252,1.357
517.612,1.359
517.972,1.361
518.331,1.363
518.691,1.366
519.05,1.369
519.41,1.371
519.769,1.374
520.129,1.378
520.488,1.381
520.847,1.385
521.206,1.389
521.566,1.393
521.925,1.398
522.284,1.402
522.643,1.407
523.002,1.413
523.361,1.418
523.72,1.424
524.079,1.43
524.438,1.436
524.797,1.442
525.155,1.449
525.514,1.456
525.873,1.463
526.231,1.47
526.59,1.478
526.948,1.486
527.307,1.494
527.665,1.502
528.024,1.51
528.382,1.519
528.74,1.527
529.099,1.536
529.457,1.545
529.815,1.555
530.173,1.564
530.531,1.573
530.889,1.582
531.247,1.591
531.605,1.6
531.963,1.609
532.321,1.618
532.679,1.627
533.036,1.635
533.394,1.643
533.752,1.651
534.109,1.659
534.467,1.666
534.824,1.672
535.182,1.678
535.539,1.684
535.897,1.688
536.254,1.692
536.611,1.695
536.969,1.697
537.326,1.698
537.683,1.698
538.04,1.697
538.397,1.694
538.754,1.691
539.111,1.687
539.468,1.68
539.825,1.673
540.182,1.664
540.539,1.654
540.895,1.643
541.252,1.631
541.609,1.617
541.965,1.602
542.322,1.586
542.678,1.568
543.035,1.55
543.391,1.53
543.748,1.51
544.104,1.489
544.46,1.467
544.817,1.444
545.173,1.42
545.529,1.397
545.885,1.372
546.241,1.348
546.597,1.322
546.953,1.297
547.309,1.271
547.665,1.245
548.021,1.219
548.377,1.193
548.732,1.168
549.088,1.142
549.444,1.117
549.799,1.091
550.155,1.066
550.51,1.042
550.866,1.017
551.221,0.993
551.577,0.969
551.932,0.945
552.287,0.922
552.643,0.899
552.998,0.876
553.353,0.855
553.708,0.833
554.063,0.812
554.418,0.791
554.773,0.771
555.128,0.751
555.483,0.732
555.838,0.713
556.192,0.694
556.547,0.676
556.902,0.659
557.257,0.641
557.611,0.625
557.966,0.608
558.32,0.592
558.675,0.577
559.029,0.562
559.383,0.547
559.738,0.533
560.092,0.519
560.446,0.506
560.8,0.492
561.155,0.48
561.509,0.467
561.863,0.456
562.217,0.444
562.571,0.433
562.925,0.422
563.278,0.412
563.632,0.401
563.986,0.392
564.34,0.382
564.693,0.373
565.047,0.364
565.401,0.355
565.754,0.347
566.108,0.339
566.461,0.331
566.815,0.324
567.168,0.316
567.521,0.31
567.874,0.303
568.228,0.296
568.581,0.29
568.934,0.284
569.287,0.278
569.64,0.272
569.993,0.267
570.346,0.262
570.699,0.257
571.052,0.252
571.405,0.247
571.757,0.243
572.11,0.239
572.463,0.234
572.815,0.23
573.168,0.227
573.52,0.223
573.873,0.219
574.225,0.216
574.578,0.213
574.93,0.209
575.282,0.206
575.635,0.203
575.987,0.201
576.339,0.198
576.691,0.195
577.043,0.192
577.395,0.19
577.747,0.188
578.099,0.185
578.451,0.183
578.803,0.181
579.154,0.179
579.506,0.177
579.858,0.175
580.209,0.173
580.561,0.171
580.913,0.17
581.264,0.168
581.616,0.166
581.967,0.165
582.318,0.163
582.67,0.162
583.021,0.16
583.372,0.159
583.723,0.157
584.074,0.156
584.426,0.155
584.777,0.154
585.128,0.153
585.479,0.151
585.829,0.15
