Wavelength(nm),PHAT
934.393,0.139
934.69,0.139
934.986,0.139
935.283,0.14
935.58,0.14
935.877,0.141
936.173,0.141
936.47,0.14
936.766,0.14
937.063,0.14
937.359,0.14
937.655,0.14
937.951,0.14
938.248,0.14
938.544,0.14
938.84,0.14
939.136,0.14
939.432,0.139
939.728,0.139
940.024,0.139
940.32,0.139
940.615,0.139
940.911,0.14
941.207,0.14
941.502,0.141
941.798,0.142
942.093,0.142
942.389,0.142
942.684,0.141
942.98,0.141
943.275,0.141
943.57,0.142
943.865,0.143
944.16,0.143
944.455,0.144
944.75,0.144
945.045,0.145
945.34,0.145
945.635,0.144
945.93,0.144
946.225,0.145
946.519,0.145
946.814,0.146
947.109,0.147
947.403,0.147
947.698,0.147
947.992,0.147
948.286,0.146
948.581,0.147
948.875,0.147
949.169,0.147
949.463,0.148
949.757,0.148
950.051,0.148
950.345,0.148
950.639,0.148
950.933,0.147
951.227,0.148
951.521,0.148
951.814,0.148
952.108,0.148
952.402,0.148
952.695,0.148
952.989,0.147
953.282,0.147
953.575,0.146
953.869,0.146
954.162,0.146
954.455,0.146
954.748,0.145
955.042,0.146
955.335,0.146
955.628,0.145
955.921,0.145
956.213,0.146
956.506,0.146
956.799,0.146
957.092,0.146
957.384,0.147
957.677,0.147
957.97,0.147
958.262,0.147
958.555,0.148
958.847,0.148
959.139,0.148
959.432,0.148
959.724,0.149
960.016,0.149
960.308,0.15
960.6,0.15
960.892,0.15
961.184,0.15
961.476,0.15
961.768,0.15
962.06,0.15
962.352,0.15
962.643,0.149
962.935,0.15
963.226,0.15
963.518,0.15
963.809,0.15
964.101,0.15
964.392,0.15
964.683,0.151
964.975,0.151
965.266,0.152
965.557,0.152
965.848,0.152
966.139,0.153
966.43,0.153
966.721,0.154
967.012,0.154
967.303,0.155
967.594,0.156
967.884,0.157
968.175,0.156
968.465,0.157
968.756,0.157
969.046,0.157
969.337,0.156
969.627,0.157
969.918,0.158
970.208,0.157
970.498,0.158
970.788,0.159
971.078,0.159
971.368,0.16
971.658,0.16
971.948,0.159
972.238,0.159
972.528,0.159
972.818,0.159
973.107,0.159
973.397,0.16
973.687,0.161
973.976,0.162
974.266,0.162
974.555,0.164
974.845,0.164
975.134,0.165
975.423,0.165
975.712,0.165
976.002,0.166
976.291,0.166
976.58,0.167
976.869,0.168
977.158,0.167
977.447,0.167
977.735,0.168
978.024,0.167
978.313,0.167
978.602,0.167
978.89,0.167
979.179,0.165
979.467,0.165
979.756,0.164
980.044,0.165
980.332,0.164
980.621,0.163
980.909,0.165
981.197,0.166
981.485,0.166
981.773,0.165
982.061,0.167
982.349,0.166
982.637,0.164
982.925,0.165
983.213,0.163
983.501,0.162
983.788,0.164
984.076,0.165
984.363,0.164
984.651,0.164
984.938,0.164
985.226,0.165
985.513,0.166
985.8,0.165
986.088,0.165
986.375,0.163
986.662,0.164
986.949,0.163
987.236,0.163
987.523,0.164
987.81,0.166
988.097,0.167
988.384,0.167
988.67,0.167
988.957,0.168
989.244,0.166
989.53,0.167
989.817,0.166
990.103,0.167
990.39,0.167
990.676,0.166
990.962,0.167
991.248,0.17
991.535,0.169
991.821,0.17
992.107,0.17
992.393,0.171
992.679,0.169
992.965,0.166
993.251,0.164
993.536,0.166
993.822,0.165
994.108,0.167
994.393,0.168
994.679,0.167
994.964,0.169
995.25,0.172
995.535,0.17
995.821,0.169
996.106,0.173
996.391,0.176
996.676,0.179
996.962,0.174
997.247,0.172
997.532,0.17
997.817,0.171
998.102,0.172
998.386,0.17
998.671,0.169
998.956,0.169
999.241,0.166
999.525,0.164
999.81,0.163
1000.094,0.163
1000.379,0.161
1000.663,0.158
1000.948,0.16
1001.232,0.156
1001.516,0.157
1001.8,0.154
1002.084,0.155
1002.369,0.156
1002.653,0.159
1002.936,0.154
1003.22,0.157
1003.504,0.154
1003.788,0.155
1004.072,0.152
1004.355,0.15
1004.639,0.151
1004.923,0.153
1005.206,0.152
1005.49,0.146
1005.773,0.146
1006.056,0.143
1006.34,0.14
1006.623,0.136
1006.906,0.134
1007.189,0.142
1007.472,0.136
1007.755,0.132
1008.038,0.13
1008.321,0.127
1008.604,0.133
1008.887,0.132
1009.17,0.134
1009.452,0.131
1009.735,0.133
1010.017,0.134
1010.3,0.137
1010.582,0.132
1010.865,0.132
1011.147,0.13
1011.429,0.13
1011.712,0.13
1011.994,0.137
1012.276,0.141
1012.558,0.142
1012.84,0.149
1013.122,0.147
1013.404,0.145
1013.686,0.142
1013.968,0.142
1014.249,0.135
1014.531,0.13
1014.813,0.132
1015.094,0.131
1015.376,0.131
1015.657,0.129
1015.939,0.133
1016.22,0.132
1016.501,0.13
1016.782,0.132
1017.064,0.137
1017.345,0.134
1017.626,0.134
1017.907,0.139
1018.188,0.142
1018.469,0.142
1018.749,0.131
1019.03,0.139
1019.311,0.139
1019.592,0.138
1019.872,0.139
1020.153,0.132
1020.433,0.131
1020.714,0.128
1020.994,0.128
1021.274,0.125
1021.555,0.128
