Wavelength(nm),PHAT,PHAN,PHATh
655.406,0.105,1.477,1.487
655.747,0.105,1.492,1.483
656.089,0.104,1.508,1.478
656.43,0.104,1.524,1.474
656.771,0.104,1.54,1.47
657.112,0.104,1.555,1.465
657.453,0.104,1.572,1.46
657.794,0.104,1.588,1.455
658.135,0.104,1.604,1.45
658.476,0.104,1.62,1.444
658.817,0.104,1.635,1.439
659.158,0.103,1.651,1.433
659.499,0.103,1.666,1.427
659.84,0.103,1.681,1.421
660.181,0.103,1.695,1.415
660.521,0.103,1.71,1.408
660.862,0.103,1.724,1.402
661.202,0.103,1.737,1.395
661.543,0.103,1.75,1.388
661.883,0.103,1.763,1.38
662.224,0.103,1.775,1.373
662.564,0.103,1.787,1.365
662.905,0.103,1.798,1.358
663.245,0.103,1.809,1.349
663.585,0.103,1.82,1.341
663.925,0.102,1.83,1.333
664.266,0.102,1.84,1.324
664.606,0.102,1.85,1.315
664.946,0.102,1.858,1.306
665.286,0.102,1.866,1.297
665.626,0.102,1.874,1.288
665.966,0.102,1.881,1.278
666.306,0.102,1.888,1.269
666.645,0.102,1.894,1.259
666.985,0.102,1.9,1.249
667.325,0.102,1.905,1.239
667.665,0.102,1.911,1.229
668.004,0.102,1.915,1.219
668.344,0.102,1.92,1.208
668.683,0.102,1.923,1.198
669.023,0.102,1.927,1.187
669.362,0.102,1.93,1.176
669.702,0.102,1.932,1.166
670.041,0.102,1.934,1.155
670.38,0.102,1.936,1.144
670.719,0.101,1.937,1.133
671.059,0.101,1.938,1.122
671.398,0.101,1.938,1.111
671.737,0.101,1.938,1.099
672.076,0.101,1.937,1.088
672.415,0.101,1.936,1.076
672.754,0.101,1.935,1.065
673.093,0.101,1.933,1.053
673.432,0.101,1.931,1.042
673.77,0.101,1.929,1.03
674.109,0.102,1.926,1.018
674.448,0.102,1.923,1.007
674.787,0.102,1.92,0.995
675.125,0.102,1.916,0.983
675.464,0.102,1.912,0.972
675.802,0.102,1.907,0.96
676.141,0.102,1.902,0.948
676.479,0.101,1.897,0.936
676.818,0.101,1.892,0.925
677.156,0.101,1.887,0.913
677.494,0.101,1.881,0.902
677.832,0.102,1.874,0.89
678.171,0.102,1.868,0.879
678.509,0.101,1.861,0.867
678.847,0.101,1.854,0.856
679.185,0.101,1.846,0.844
679.523,0.101,1.839,0.833
679.861,0.101,1.831,0.822
680.199,0.101,1.823,0.81
680.536,0.101,1.815,0.799
680.874,0.101,1.807,0.788
681.212,0.101,1.798,0.777
681.55,0.101,1.789,0.766
681.887,0.101,1.78,0.755
682.225,0.101,1.77,0.744
682.562,0.101,1.761,0.733
682.9,0.101,1.752,0.722
683.237,0.101,1.742,0.712
683.575,0.101,1.732,0.701
683.912,0.101,1.722,0.691
684.249,0.101,1.712,0.68
684.587,0.101,1.702,0.67
684.924,0.101,1.692,0.66
685.261,0.101,1.682,0.65
685.598,0.101,1.673,0.64
685.935,0.101,1.663,0.63
686.272,0.101,1.653,0.621
686.609,0.101,1.643,0.611
686.946,0.101,1.633,0.602
687.283,0.101,1.623,0.593
687.62,0.101,1.614,0.583
687.957,0.101,1.604,0.574
688.293,0.101,1.594,0.565
688.63,0.101,1.584,0.556
688.967,0.101,1.575,0.547
689.303,0.101,1.565,0.539
689.64,0.101,1.555,0.53
689.976,0.101,1.546,0.522
690.313,0.101,1.537,0.513
690.649,0.101,1.528,0.505
690.985,0.101,1.519,0.497
691.322,0.101,1.51,0.489
691.658,0.101,1.501,0.481
691.994,0.101,1.492,0.474
692.33,0.101,1.484,0.466
692.666,0.101,1.476,0.459
693.002,0.101,1.468,0.451
693.338,0.101,1.46,0.444
693.674,0.101,1.452,0.437
694.01,0.101,1.445,0.43
694.346,0.101,1.437,0.423
694.682,0.101,1.43,0.416
695.018,0.101,1.423,0.41
695.353,0.101,1.416,0.403
695.689,0.101,1.409,0.397
696.025,0.1,1.403,0.391
696.36,0.1,1.397,0.385
696.696,0.1,1.391,0.378
697.031,0.1,1.385,0.372
697.366,0.1,1.38,0.367
697.702,0.1,1.374,0.361
698.037,0.1,1.369,0.356
698.372,0.1,1.365,0.35
698.708,0.1,1.36,0.344
699.043,0.1,1.356,0.339
699.378,0.1,1.352,0.334
699.713,0.1,1.348,0.329
700.048,0.1,1.344,0.324
700.383,0.1,1.341,0.319
700.718,0.1,1.338,0.314
701.053,0.099,1.335,0.31
701.388,0.099,1.333,0.305
701.722,0.099,1.33,0.301
702.057,0.099,1.329,0.296
702.392,0.099,1.327,0.292
702.726,0.099,1.326,0.288
703.061,0.099,1.325,0.284
703.395,0.099,1.324,0.28
703.73,0.099,1.323,0.276
704.064,0.099,1.323,0.272
704.399,0.099,1.323,0.268
704.733,0.099,1.323,0.265
705.067,0.099,1.324,0.261
705.402,0.099,1.325,0.258
705.736,0.099,1.326,0.254
706.07,0.099,1.327,0.251
706.404,0.099,1.329,0.248
706.738,0.099,1.331,0.245
707.072,0.099,1.334,0.242
707.406,0.099,1.337,0.239
707.74,0.099,1.34,0.236
708.074,0.098,1.344,0.233
708.408,0.098,1.348,0.231
708.741,0.098,1.352,0.228
709.075,0.098,1.356,0.225
709.409,0.098,1.361,0.223
709.742,0.098,1.366,0.22
710.076,0.098,1.372,0.218
710.409,0.098,1.377,0.215
710.743,0.098,1.384,0.213
711.076,0.098,1.39,0.211
711.409,0.098,1.397,0.208
711.743,0.098,1.404,0.206
712.076,0.098,1.411,0.204
712.409,0.098,1.419,0.202
712.742,0.098,1.427,0.2
713.075,0.098,1.435,0.198
713.409,0.097,1.443,0.196
713.742,0.097,1.452,0.194
714.075,0.097,1.461,0.192
714.407,0.097,1.47,0.19
714.74,0.097,1.48,0.188
715.073,0.097,1.489,0.187
715.406,0.097,1.499,0.185
715.739,0.097,1.509,0.184
716.071,0.097,1.52,0.182
716.404,0.097,1.531,0.181
716.736,0.097,1.542,0.179
717.069,0.097,1.554,0.178
717.401,0.096,1.566,0.176
717.734,0.096,1.578,0.175
718.066,0.096,1.59,0.174
718.399,0.096,1.603,0.173
718.731,0.096,1.615,0.171
719.063,0.096,1.628,0.17
719.395,0.095,1.641,0.169
719.727,0.095,1.655,0.167
720.059,0.095,1.668,0.166
720.391,0.095,1.682,0.165
720.723,0.095,1.695,0.164
721.055,0.095,1.709,0.163
721.387,0.095,1.722,0.162
721.719,0.095,1.736,0.161
722.051,0.095,1.75,0.16
722.383,0.095,1.764,0.159
722.714,0.096,1.778,0.159
723.046,0.096,1.792,0.158
723.377,0.096,1.806,0.157
723.709,0.096,1.819,0.156
724.04,0.096,1.833,0.156
724.372,0.096,1.847,0.155
724.703,0.096,1.86,0.154
725.035,0.096,1.873,0.153
725.366,0.096,1.886,0.153
725.697,0.096,1.899,0.152
726.028,0.096,1.912,0.151
726.359,0.097,1.924,0.15
726.691,0.097,1.936,0.15
727.022,0.097,1.949,0.149
727.353,0.096,1.961,0.149
727.683,0.096,1.973,0.148
728.014,0.096,1.984,0.147
728.345,0.096,1.995,0.147
728.676,0.096,2.005,0.147
729.007,0.096,2.015,0.146
729.337,0.096,2.025,0.146
729.668,0.096,2.034,0.145
729.999,0.096,2.043,0.145
730.329,0.096,2.051,0.144
730.66,0.096,2.059,0.144
730.99,0.096,2.066,0.144
731.321,0.096,2.074,0.143
731.651,0.096,2.08,0.143
731.981,0.096,2.087,0.142
732.311,0.096,2.094,0.142
732.642,0.096,2.1,0.142
732.972,0.096,2.104,0.141
733.302,0.096,2.11,0.141
733.632,0.096,2.114,0.141
733.962,0.096,2.119,0.141
734.292,0.096,2.123,0.14
734.622,0.096,2.126,0.14
734.952,0.096,2.131,0.139
735.281,0.096,2.134,0.139
735.611,0.096,2.137,0.139
735.941,0.097,2.139,0.138
736.271,0.097,2.141,0.138
736.6,0.096,2.143,0.138
736.93,0.096,2.146,0.138
737.259,0.096,2.148,0.138
737.589,0.096,2.149,0.137
737.918,0.096,2.151,0.137
738.247,0.096,2.151,0.137
738.577,0.096,2.152,0.137
738.906,0.096,2.152,0.136
739.235,0.096,2.154,0.136
739.564,0.096,2.154,0.136
739.893,0.096,2.154,0.136
740.222,0.096,2.154,0.136
740.551,0.096,2.153,0.135
740.88,0.095,2.152,0.135
741.209,0.096,2.151,0.135
741.538,0.096,2.15,0.135
741.867,0.096,2.149,0.135
742.196,0.096,2.148,0.134
742.524,0.096,2.146,0.134
742.853,0.096,2.143,0.134
743.182,0.095,2.141,0.133
743.51,0.095,2.138,0.133
743.839,0.095,2.135,0.133
744.167,0.095,2.132,0.133
744.496,0.095,2.129,0.133
744.824,0.095,2.125,0.132
745.152,0.095,2.121,0.132
745.481,0.095,2.116,0.131
745.809,0.095,2.111,0.131
746.137,0.095,2.106,0.131
746.465,0.095,2.1,0.131
746.793,0.095,2.094,0.13
747.121,0.096,2.087,0.13
747.449,0.096,2.08,0.13
747.777,0.096,2.072,0.13
748.105,0.096,2.063,0.13
748.433,0.096,2.054,0.13
748.76,0.095,2.044,0.13
749.088,0.095,2.034,0.13
749.416,0.095,2.023,0.13
749.743,0.095,2.01,0.129
750.071,0.095,1.997,0.129
750.399,0.094,1.983,0.129
750.726,0.095,1.968,0.129
751.053,0.095,1.954,0.129
751.381,0.095,1.939,0.128
751.708,0.094,1.923,0.128
752.035,0.094,1.907,0.128
752.363,0.094,1.89,0.128
752.69,0.094,1.872,0.128
753.017,0.093,1.853,0.128
753.344,0.093,1.834,0.128
753.671,0.093,1.814,0.128
753.998,0.093,1.794,0.128
754.325,0.093,1.774,0.128
754.652,0.094,1.752,0.127
754.978,0.094,1.732,0.127
755.305,0.094,1.71,0.127
755.632,0.093,1.688,0.127
755.959,0.093,1.666,0.128
756.285,0.093,1.644,0.128
756.612,0.093,1.621,0.128
756.938,0.093,1.599,0.129
757.265,0.093,1.577,0.129
757.591,0.093,1.554,0.129
757.917,0.093,1.531,0.129
758.244,0.093,1.509,0.129
758.57,0.093,1.486,0.129
758.896,0.093,1.464,0.13
759.222,0.093,1.442,0.13
759.549,0.092,1.42,0.13
759.875,0.092,1.398,0.13
760.201,0.092,1.377,0.13
760.527,0.092,1.355,0.13
760.852,0.092,1.334,0.13
761.178,0.092,1.312,0.13
761.504,0.092,1.292,0.13
761.83,0.092,1.271,0.129
762.156,0.092,1.251,0.129
762.481,0.092,1.231,0.129
762.807,0.092,1.211,0.129
763.132,0.092,1.192,0.13
763.458,0.093,1.173,0.13
763.783,0.093,1.154,0.13
764.109,0.093,1.136,0.13
764.434,0.093,1.118,0.13
764.76,0.093,1.1,0.13
765.085,0.093,1.082,0.13
765.41,0.093,1.065,0.13
765.735,0.093,1.048,0.13
766.06,0.093,1.032,0.13
766.385,0.093,1.016,0.13
766.71,0.094,1,0.13
767.035,0.094,0.984,0.13
767.36,0.094,0.969,0.13
767.685,0.094,0.954,0.13
768.01,0.094,0.939,0.13
768.335,0.094,0.924,0.131
768.659,0.094,0.91,0.13
768.984,0.094,0.897,0.13
769.309,0.095,0.883,0.13
769.633,0.095,0.87,0.13
769.958,0.095,0.857,0.13
770.282,0.095,0.844,0.13
770.606,0.095,0.832,0.13
770.931,0.095,0.82,0.13
771.255,0.096,0.808,0.13
771.579,0.096,0.797,0.13
771.904,0.096,0.785,0.13
772.228,0.096,0.774,0.13
772.552,0.096,0.763,0.13
772.876,0.096,0.753,0.129
773.2,0.096,0.742,0.129
773.524,0.097,0.732,0.129
773.848,0.097,0.722,0.129
774.172,0.097,0.713,0.129
774.495,0.097,0.703,0.13
774.819,0.097,0.694,0.13
775.143,0.097,0.685,0.13
775.467,0.097,0.676,0.13
775.79,0.097,0.667,0.13
776.114,0.097,0.659,0.13
776.437,0.097,0.651,0.13
776.761,0.096,0.643,0.129
777.084,0.096,0.635,0.13
777.407,0.096,0.628,0.129
777.731,0.096,0.62,0.129
778.054,0.096,0.613,0.129
778.377,0.096,0.605,0.129
778.7,0.096,0.598,0.129
779.023,0.096,0.591,0.129
779.346,0.096,0.584,0.129
779.669,0.096,0.577,0.129
779.992,0.096,0.571,0.129
780.315,0.096,0.564,0.13
780.638,0.096,0.558,0.13
780.961,0.096,0.552,0.13
781.284,0.096,0.546,0.13
781.606,0.096,0.54,0.13
781.929,0.096,0.534,0.13
782.251,0.096,0.529,0.13
782.574,0.096,0.523,0.13
782.896,0.096,0.518,0.13
783.219,0.096,0.512,0.13
783.541,0.097,0.507,0.13
783.864,0.096,0.502,0.13
784.186,0.096,0.497,0.13
784.508,0.096,0.492,0.13
784.83,0.096,0.487,0.13
785.152,0.096,0.483,0.13
785.475,0.096,0.478,0.13
785.797,0.096,0.474,0.13
786.119,0.096,0.469,0.13
786.44,0.096,0.465,0.13
786.762,0.095,0.461,0.13
787.084,0.095,0.458,0.131
787.406,0.095,0.454,0.131
787.728,0.096,0.45,0.13
788.049,0.096,0.446,0.13
788.371,0.096,0.442,0.13
788.693,0.096,0.439,0.13
789.014,0.096,0.435,0.13
789.336,0.096,0.432,0.13
789.657,0.096,0.429,0.13
789.978,0.096,0.425,0.13
790.3,0.096,0.422,0.131
790.621,0.096,0.419,0.131
790.942,0.097,0.417,0.131
791.263,0.097,0.414,0.131
791.584,0.097,0.411,0.131
791.906,0.097,0.409,0.131
792.227,0.097,0.406,0.132
792.547,0.097,0.403,0.132
792.868,0.097,0.401,0.132
793.189,0.097,0.398,0.132
793.51,0.097,0.396,0.132
793.831,0.098,0.393,0.132
794.152,0.098,0.391,0.131
794.472,0.098,0.389,0.131
794.793,0.098,0.386,0.131
795.113,0.098,0.384,0.131
795.434,0.098,0.382,0.131
795.754,0.098,0.38,0.132
796.075,0.098,0.378,0.132
796.395,0.098,0.376,0.132
796.715,0.098,0.374,0.132
797.036,0.097,0.372,0.132
797.356,0.098,0.37,0.131
797.676,0.098,0.368,0.131
797.996,0.098,0.366,0.131
798.316,0.097,0.364,0.131
798.636,0.097,0.363,0.131
798.956,0.098,0.361,0.131
799.276,0.098,0.36,0.131
799.596,0.098,0.358,0.131
799.916,0.098,0.356,0.13
800.235,0.098,0.355,0.13
800.555,0.098,0.353,0.13
800.875,0.098,0.351,0.13
801.194,0.098,0.35,0.13
801.514,0.098,0.349,0.13
801.833,0.098,0.347,0.13
802.153,0.098,0.346,0.13
802.472,0.098,0.344,0.13
802.791,0.098,0.343,0.13
803.111,0.098,0.341,0.13
803.43,0.099,0.34,0.13
803.749,0.099,0.338,0.13
804.068,0.099,0.336,0.13
804.387,0.099,0.335,0.13
804.706,0.1,0.333,0.13
805.025,0.1,0.331,0.13
805.344,0.1,0.33,0.13
805.663,0.1,0.329,0.13
805.982,0.1,0.328,0.13
806.301,0.1,0.326,0.13
806.62,0.1,0.325,0.13
806.938,0.1,0.324,0.13
807.257,0.1,0.323,0.13
807.575,0.099,0.322,0.131
807.894,0.099,0.321,0.131
808.212,0.1,0.32,0.131
808.531,0.1,0.319,0.131
808.849,0.1,0.318,0.131
809.167,0.1,0.317,0.131
809.486,0.1,0.315,0.131
809.804,0.1,0.314,0.131
810.122,0.1,0.314,0.131
810.44,0.099,0.313,0.131
810.758,0.099,0.312,0.132
811.076,0.099,0.311,0.132
811.394,0.1,0.31,0.132
811.712,0.099,0.308,0.132
812.03,0.099,0.307,0.133
812.348,0.099,0.305,0.133
812.666,0.099,0.304,0.133
812.983,0.099,0.303,0.133
813.301,0.098,0.302,0.133
813.618,0.099,0.301,0.134
813.936,0.099,0.3,0.134
814.253,0.099,0.3,0.134
814.571,0.099,0.299,0.134
814.888,0.099,0.298,0.134
815.206,0.099,0.297,0.134
815.523,0.099,0.296,0.134
815.84,0.099,0.295,0.134
816.157,0.099,0.295,0.134
816.475,0.098,0.294,0.134
816.792,0.098,0.294,0.134
817.109,0.098,0.293,0.135
817.426,0.097,0.293,0.135
817.743,0.097,0.292,0.135
818.059,0.097,0.292,0.135
818.376,0.097,0.291,0.135
818.693,0.097,0.291,0.135
819.01,0.097,0.29,0.135
819.326,0.097,0.289,0.135
819.643,0.098,0.288,0.135
819.96,0.098,0.288,0.135
820.276,0.098,0.287,0.135
820.593,0.098,0.287,0.135
820.909,0.098,0.286,0.135
821.225,0.098,0.286,0.135
821.542,0.098,0.285,0.135
821.858,0.098,0.284,0.135
822.174,0.098,0.284,0.135
822.49,0.099,0.284,0.135
822.806,0.099,0.283,0.135
823.122,0.099,0.282,0.135
823.438,0.099,0.282,0.135
823.754,0.099,0.281,0.135
824.07,0.099,0.28,0.135
824.386,0.099,0.279,0.136
824.702,0.1,0.279,0.136
825.018,0.1,0.279,0.136
825.333,0.1,0.279,0.136
825.649,0.1,0.278,0.136
825.965,0.1,0.278,0.136
826.28,0.101,0.278,0.136
826.596,0.101,0.277,0.136
826.911,0.101,0.276,0.136
827.226,0.101,0.276,0.136
827.542,0.101,0.275,0.136
827.857,0.102,0.274,0.136
828.172,0.102,0.274,0.136
828.487,0.102,0.273,0.137
828.803,0.102,0.272,0.137
829.118,0.102,0.272,0.137
829.433,0.102,0.271,0.137
829.748,0.102,0.271,0.137
830.063,0.103,0.27,0.137
830.377,0.103,0.269,0.137
830.692,0.103,0.268,0.138
831.007,0.104,0.268,0.138
831.322,0.104,0.268,0.138
831.636,0.103,0.268,0.138
831.951,0.103,0.267,0.139
832.266,0.103,0.267,0.139
832.58,0.103,0.267,0.139
832.895,0.103,0.266,0.139
833.209,0.103,0.266,0.14
833.523,0.103,0.266,0.14
833.838,0.103,0.266,0.14
834.152,0.103,0.265,0.14
834.466,0.103,0.265,0.14
834.78,0.103,0.265,0.14
835.094,0.103,0.265,0.14
835.408,0.103,0.265,0.14
835.722,0.103,0.264,0.141
836.036,0.103,0.264,0.141
836.35,0.103,0.263,0.14
836.664,0.103,0.263,0.141
836.978,0.103,0.263,0.141
837.291,0.103,0.262,0.141
837.605,0.103,0.262,0.141
837.919,0.103,0.262,0.141
838.232,0.103,0.261,0.14
838.546,0.103,0.261,0.141
838.859,0.102,0.261,0.141
839.173,0.102,0.261,0.141
839.486,0.102,0.261,0.141
839.799,0.102,0.261,0.141
840.113,0.102,0.261,0.141
840.426,0.101,0.261,0.141
840.739,0.101,0.261,0.141
841.052,0.101,0.261,0.141
841.365,0.101,0.261,0.141
841.678,0.101,0.261,0.141
841.991,0.101,0.261,0.141
842.304,0.1,0.261,0.141
842.617,0.1,0.261,0.141
842.93,0.1,0.261,0.141
843.243,0.1,0.261,0.14
843.555,0.1,0.261,0.14
843.868,0.1,0.26,0.14
844.18,0.1,0.26,0.141
844.493,0.1,0.26,0.141
844.805,0.1,0.26,0.141
845.118,0.1,0.26,0.141
845.43,0.1,0.26,0.14
845.743,0.1,0.26,0.14
846.055,0.1,0.26,0.14
846.367,0.1,0.26,0.139
846.679,0.1,0.26,0.139
846.991,0.1,0.259,0.14
847.303,0.099,0.259,0.14
847.615,0.099,0.259,0.14
847.927,0.099,0.259,0.14
848.239,0.099,0.259,0.14
848.551,0.1,0.26,0.14
848.863,0.1,0.26,0.141
849.175,0.1,0.26,0.141
849.486,0.1,0.26,0.141
849.798,0.101,0.26,0.141
850.11,0.101,0.26,0.141
850.421,0.101,0.26,0.141
850.733,0.101,0.261,0.141
851.044,0.101,0.261,0.141
851.356,0.102,0.261,0.141
851.667,0.102,0.261,0.141
851.978,0.102,0.261,0.141
852.289,0.102,0.261,0.141
852.601,0.102,0.26,0.142
852.912,0.102,0.26,0.142
853.223,0.102,0.26,0.142
853.534,0.102,0.26,0.142
853.845,0.103,0.26,0.143
854.156,0.103,0.26,0.143
854.467,0.103,0.26,0.143
854.777,0.103,0.26,0.143
855.088,0.104,0.26,0.143
855.399,0.104,0.26,0.144
855.71,0.104,0.26,0.144
856.02,0.105,0.26,0.144
856.331,0.105,0.26,0.144
856.641,0.105,0.26,0.144
856.952,0.105,0.259,0.144
857.262,0.105,0.259,0.144
857.573,0.105,0.259,0.144
857.883,0.105,0.259,0.144
858.193,0.106,0.258,0.144
858.503,0.106,0.258,0.145
858.813,0.106,0.257,0.145
859.123,0.106,0.256,0.145
859.434,0.106,0.256,0.145
859.743,0.107,0.256,0.145
860.053,0.107,0.255,0.145
860.363,0.108,0.255,0.145
860.673,0.108,0.255,0.145
860.983,0.109,0.255,0.145
861.293,0.109,0.255,0.145
861.602,0.108,0.255,0.145
861.912,0.108,0.255,0.146
862.221,0.108,0.255,0.146
862.531,0.108,0.254,0.146
862.84,0.108,0.254,0.146
863.15,0.108,0.254,0.146
863.459,0.108,0.254,0.147
863.769,0.107,0.254,0.147
864.078,0.108,0.254,0.148
864.387,0.108,0.253,0.148
864.696,0.108,0.253,0.148
865.005,0.108,0.253,0.149
865.314,0.109,0.253,0.149
865.623,0.109,0.254,0.149
865.932,0.109,0.253,0.149
866.241,0.109,0.253,0.149
866.55,0.109,0.254,0.149
866.859,0.109,0.254,0.149
867.167,0.109,0.254,0.149
867.476,0.109,0.254,0.148
867.785,0.109,0.254,0.148
868.093,0.109,0.254,0.148
868.402,0.109,0.254,0.148
868.71,0.109,0.254,0.148
869.019,0.109,0.254,0.148
869.327,0.109,0.255,0.148
869.635,0.109,0.255,0.148
869.944,0.109,0.255,0.149
870.252,0.109,0.255,0.149
870.56,0.109,0.256,0.149
870.868,0.109,0.256,0.149
871.176,0.109,0.257,0.149
871.484,0.109,0.257,0.15
871.792,0.11,0.258,0.15
872.1,0.11,0.258,0.15
872.408,0.11,0.258,0.15
872.715,0.109,0.258,0.15
873.023,0.109,0.259,0.15
873.331,0.109,0.259,0.15
873.638,0.109,0.259,0.151
873.946,0.109,0.259,0.151
874.254,0.109,0.259,0.151
874.561,0.109,0.259,0.151
874.868,0.109,0.259,0.151
875.176,0.109,0.26,0.152
875.483,0.11,0.26,0.152
875.79,0.11,0.26,0.152
876.098,0.111,0.26,0.152
876.405,0.111,0.26,0.152
876.712,0.111,0.26,0.152
877.019,0.11,0.261,0.152
877.326,0.11,0.261,0.152
877.633,0.111,0.261,0.153
877.94,0.111,0.261,0.153
878.246,0.111,0.261,0.153
878.553,0.111,0.261,0.153
878.86,0.111,0.261,0.153
879.167,0.111,0.261,0.153
879.473,0.111,0.261,0.153
879.78,0.111,0.261,0.153
880.086,0.111,0.261,0.153
880.393,0.111,0.261,0.154
880.699,0.112,0.262,0.154
881.006,0.112,0.262,0.155
881.312,0.112,0.262,0.155
881.618,0.112,0.262,0.155
881.924,0.111,0.261,0.156
882.23,0.111,0.261,0.156
882.537,0.112,0.262,0.156
882.843,0.112,0.261,0.156
883.149,0.112,0.261,0.156
883.455,0.112,0.261,0.156
883.76,0.112,0.26,0.156
884.066,0.113,0.26,0.156
884.372,0.113,0.26,0.156
884.678,0.114,0.259,0.156
884.983,0.114,0.259,0.157
885.289,0.114,0.259,0.157
885.595,0.115,0.259,0.158
885.9,0.115,0.259,0.158
886.206,0.115,0.258,0.158
886.511,0.115,0.259,0.158
886.816,0.115,0.259,0.158
887.122,0.115,0.259,0.158
887.427,0.116,0.259,0.158
887.732,0.116,0.259,0.158
888.037,0.116,0.259,0.159
888.342,0.116,0.258,0.159
888.647,0.116,0.258,0.159
888.952,0.116,0.259,0.16
889.257,0.116,0.259,0.16
889.562,0.117,0.258,0.16
889.867,0.117,0.258,0.161
890.172,0.117,0.258,0.16
890.476,0.117,0.258,0.161
890.781,0.117,0.258,0.161
891.086,0.117,0.258,0.162
891.39,0.117,0.258,0.162
891.695,0.118,0.258,0.163
891.999,0.118,0.258,0.163
892.304,0.118,0.257,0.163
892.608,0.118,0.257,0.163
892.912,0.118,0.256,0.163
893.217,0.118,0.256,0.163
893.521,0.118,0.255,0.163
893.825,0.118,0.255,0.163
894.129,0.118,0.254,0.163
894.433,0.118,0.255,0.163
894.737,0.119,0.255,0.163
895.041,0.119,0.255,0.164
895.345,0.119,0.255,0.164
895.649,0.119,0.255,0.164
895.952,0.119,0.255,0.165
896.256,0.119,0.255,0.166
896.56,0.119,0.255,0.166
896.863,0.119,0.255,0.167
897.167,0.118,0.255,0.167
897.47,0.119,0.255,0.167
897.774,0.118,0.255,0.166
898.077,0.118,0.255,0.166
898.38,0.118,0.255,0.166
898.684,0.119,0.254,0.166
898.987,0.119,0.254,0.165
899.29,0.119,0.254,0.165
899.593,0.119,0.254,0.165
899.896,0.118,0.254,0.165
900.199,0.118,0.254,0.165
900.502,0.118,0.254,0.164
900.805,0.119,0.254,0.164
901.108,0.118,0.254,0.164
901.411,0.118,0.253,0.164
901.714,0.118,0.253,0.164
902.016,0.118,0.252,0.163
902.319,0.119,0.252,0.163
902.622,0.119,0.253,0.163
902.924,0.119,0.253,0.163
903.227,0.12,0.253,0.163
903.529,0.12,0.254,0.163
903.831,0.12,0.254,0.163
904.134,0.121,0.254,0.162
904.436,0.121,0.254,0.162
904.738,0.121,0.254,0.163
905.04,0.121,0.254,0.163
905.343,0.122,0.255,0.164
905.645,0.123,0.255,0.164
905.947,0.123,0.256,0.164
906.249,0.123,0.256,0.165
906.55,0.123,0.256,0.165
906.852,0.123,0.256,0.165
907.154,0.123,0.256,0.165
907.456,0.124,0.256,0.165
907.758,0.124,0.256,0.164
908.059,0.124,0.256,0.164
908.361,0.124,0.256,0.164
908.662,0.124,0.256,0.163
908.964,0.124,0.256,0.162
909.265,0.124,0.256,0.162
909.567,0.124,0.256,0.162
909.868,0.124,0.256,0.162
910.169,0.124,0.256,0.162
910.47,0.125,0.256,0.162
910.771,0.125,0.256,0.162
911.073,0.125,0.255,0.163
911.374,0.126,0.255,0.163
911.675,0.126,0.254,0.163
911.975,0.127,0.254,0.163
912.276,0.127,0.253,0.163
912.577,0.127,0.253,0.163
912.878,0.127,0.253,0.163
913.179,0.127,0.253,0.163
913.479,0.128,0.253,0.163
913.78,0.128,0.253,0.163
914.081,0.129,0.253,0.163
914.381,0.129,0.254,0.163
914.682,0.128,0.254,0.163
914.982,0.128,0.254,0.164
915.282,0.128,0.254,0.164
915.583,0.128,0.253,0.164
915.883,0.128,0.252,0.165
916.183,0.127,0.252,0.165
916.483,0.127,0.251,0.165
916.783,0.126,0.251,0.165
917.083,0.125,0.25,0.166
917.383,0.125,0.25,0.166
917.683,0.124,0.25,0.166
917.983,0.124,0.249,0.166
918.283,0.124,0.249,0.166
918.583,0.124,0.249,0.166
918.882,0.125,0.248,0.166
919.182,0.125,0.248,0.166
919.482,0.125,0.248,0.166
919.781,0.126,0.248,0.166
920.081,0.126,0.248,0.166
920.38,0.126,0.248,0.166
920.679,0.126,0.248,0.167
920.979,0.127,0.248,0.167
921.278,0.128,0.248,0.168
921.577,0.128,0.248,0.169
921.876,0.128,0.248,0.169
922.175,0.128,0.248,0.169
922.475,0.128,0.248,0.17
922.774,0.128,0.249,0.17
923.073,0.128,0.249,0.171
923.371,0.128,0.249,0.172
923.67,0.128,0.25,0.173
923.969,0.128,0.251,0.173
924.268,0.129,0.251,0.174
924.566,0.129,0.252,0.174
924.865,0.13,0.253,0.174
925.164,0.13,0.253,0.175
925.462,0.13,0.254,0.175
925.761,0.13,0.254,0.176
926.059,0.13,0.254,0.177
926.357,0.131,0.255,0.177
926.656,0.131,0.254,0.178
926.954,0.131,0.254,0.178
927.252,0.131,0.254,0.178
927.55,0.132,0.254,0.178
927.848,0.132,0.255,0.177
928.146,0.133,0.255,0.177
928.444,0.133,0.256,0.178
928.742,0.134,0.257,0.178
929.04,0.135,0.258,0.179
929.338,0.136,0.259,0.179
929.636,0.136,0.259,0.179
929.934,0.137,0.26,0.178
930.231,0.137,0.261,0.179
930.529,0.138,0.261,0.179
930.826,0.138,0.262,0.18
931.124,0.138,0.263,0.181
931.421,0.138,0.264,0.182
931.719,0.138,0.265,0.182
932.016,0.138,0.266,0.183
932.313,0.138,0.268,0.184
932.611,0.138,0.269,0.185
932.908,0.138,0.27,0.186
933.205,0.138,0.271,0.186
933.502,0.138,0.272,0.187
933.799,0.138,0.273,0.187
934.096,0.139,0.274,0.188
