Wavelength(nm),PHAT,PHAN,PHATh
415.899,0.171,1.072,1.694
416.271,0.17,1.079,1.699
416.643,0.169,1.086,1.702
417.015,0.168,1.093,1.707
417.387,0.167,1.1,1.71
417.759,0.166,1.106,1.713
418.13,0.166,1.113,1.716
418.502,0.165,1.12,1.72
418.874,0.164,1.127,1.723
419.245,0.163,1.134,1.726
419.617,0.162,1.141,1.726
419.988,0.162,1.149,1.726
420.36,0.161,1.157,1.724
420.731,0.161,1.164,1.727
421.103,0.16,1.172,1.725
421.474,0.159,1.18,1.724
421.845,0.159,1.188,1.723
422.217,0.158,1.196,1.72
422.588,0.158,1.204,1.715
422.959,0.157,1.212,1.71
423.33,0.157,1.221,1.704
423.701,0.156,1.229,1.697
424.072,0.156,1.238,1.689
424.443,0.156,1.246,1.678
424.814,0.155,1.255,1.667
425.185,0.155,1.264,1.655
425.556,0.155,1.272,1.641
425.927,0.154,1.281,1.626
426.298,0.154,1.29,1.609
426.668,0.154,1.299,1.593
427.039,0.154,1.307,1.576
427.41,0.154,1.316,1.557
427.78,0.154,1.325,1.538
428.151,0.154,1.334,1.518
428.521,0.154,1.342,1.498
428.892,0.154,1.351,1.477
429.262,0.154,1.359,1.455
429.633,0.154,1.368,1.434
430.003,0.154,1.377,1.413
430.373,0.155,1.385,1.392
430.744,0.155,1.393,1.371
431.114,0.155,1.401,1.349
431.484,0.156,1.409,1.327
431.854,0.156,1.417,1.306
432.224,0.156,1.424,1.284
432.594,0.157,1.432,1.264
432.964,0.157,1.44,1.243
433.334,0.158,1.447,1.223
433.704,0.159,1.455,1.204
434.074,0.159,1.461,1.184
434.444,0.16,1.468,1.165
434.814,0.161,1.475,1.147
435.183,0.161,1.481,1.128
435.553,0.162,1.487,1.111
435.923,0.163,1.493,1.093
436.292,0.164,1.499,1.076
436.662,0.165,1.504,1.059
437.031,0.166,1.51,1.042
437.401,0.167,1.514,1.027
437.77,0.168,1.519,1.011
438.14,0.169,1.523,0.996
438.509,0.17,1.528,0.981
438.878,0.171,1.531,0.966
439.248,0.172,1.535,0.952
439.617,0.174,1.538,0.938
439.986,0.175,1.541,0.924
440.355,0.177,1.544,0.911
440.724,0.178,1.547,0.898
441.093,0.18,1.55,0.885
441.462,0.181,1.552,0.873
441.831,0.183,1.554,0.861
442.2,0.184,1.556,0.849
442.569,0.186,1.557,0.838
442.938,0.188,1.558,0.826
443.307,0.19,1.559,0.815
443.675,0.192,1.56,0.804
444.044,0.194,1.561,0.794
444.413,0.196,1.562,0.784
444.781,0.198,1.562,0.774
445.15,0.2,1.562,0.764
445.518,0.202,1.561,0.754
445.887,0.205,1.562,0.745
446.255,0.207,1.561,0.736
446.624,0.209,1.559,0.727
446.992,0.212,1.558,0.718
447.36,0.215,1.556,0.71
447.728,0.217,1.554,0.702
448.097,0.22,1.551,0.694
448.465,0.223,1.548,0.686
448.833,0.226,1.545,0.678
449.201,0.229,1.542,0.67
449.569,0.232,1.539,0.663
449.937,0.235,1.535,0.655
450.305,0.238,1.53,0.648
450.673,0.241,1.526,0.641
451.041,0.245,1.521,0.634
451.409,0.248,1.515,0.628
451.776,0.252,1.511,0.621
452.144,0.255,1.505,0.615
452.512,0.259,1.499,0.608
452.879,0.263,1.493,0.602
453.247,0.266,1.488,0.596
453.614,0.27,1.481,0.59
453.982,0.274,1.475,0.584
454.349,0.278,1.469,0.578
454.717,0.282,1.462,0.572
455.084,0.286,1.456,0.567
455.452,0.29,1.449,0.561
455.819,0.295,1.442,0.555
456.186,0.299,1.435,0.55
456.553,0.303,1.428,0.545
456.92,0.307,1.422,0.54
457.288,0.312,1.416,0.535
457.655,0.316,1.409,0.53
458.022,0.321,1.403,0.525
458.389,0.325,1.397,0.52
458.756,0.33,1.391,0.515
459.122,0.335,1.385,0.51
459.489,0.34,1.378,0.505
459.856,0.344,1.372,0.501
460.223,0.349,1.366,0.496
460.59,0.354,1.36,0.491
460.956,0.359,1.354,0.487
461.323,0.364,1.349,0.482
461.689,0.37,1.343,0.478
462.056,0.375,1.338,0.473
462.422,0.38,1.332,0.469
462.789,0.385,1.327,0.464
463.155,0.391,1.322,0.46
463.522,0.396,1.317,0.456
463.888,0.402,1.313,0.452
464.254,0.407,1.308,0.447
464.62,0.413,1.304,0.443
464.987,0.419,1.3,0.439
465.353,0.424,1.296,0.435
465.719,0.43,1.292,0.431
466.085,0.436,1.289,0.427
466.451,0.442,1.286,0.423
466.817,0.448,1.283,0.419
467.183,0.454,1.28,0.415
467.549,0.46,1.277,0.411
467.915,0.466,1.275,0.407
468.28,0.472,1.272,0.403
468.646,0.478,1.27,0.399
469.012,0.484,1.268,0.396
469.377,0.491,1.267,0.392
469.743,0.497,1.265,0.388
470.109,0.504,1.264,0.384
470.474,0.51,1.263,0.381
470.84,0.517,1.263,0.377
471.205,0.523,1.262,0.374
471.57,0.53,1.262,0.37
471.936,0.536,1.262,0.367
472.301,0.543,1.261,0.364
472.666,0.55,1.261,0.36
473.031,0.557,1.261,0.357
473.397,0.564,1.262,0.354
473.762,0.571,1.262,0.35
474.127,0.578,1.263,0.347
474.492,0.585,1.264,0.344
474.857,0.591,1.265,0.341
475.222,0.599,1.266,0.338
475.587,0.606,1.267,0.336
475.952,0.613,1.268,0.333
476.316,0.62,1.269,0.33
476.681,0.628,1.27,0.327
477.046,0.635,1.271,0.324
477.411,0.643,1.273,0.322
477.775,0.65,1.273,0.319
478.14,0.658,1.275,0.316
478.504,0.666,1.276,0.314
478.869,0.673,1.276,0.312
479.233,0.681,1.277,0.309
479.598,0.689,1.278,0.307
479.962,0.697,1.278,0.305
480.326,0.705,1.279,0.303
480.691,0.714,1.279,0.3
481.055,0.722,1.279,0.298
481.419,0.731,1.278,0.296
481.783,0.739,1.277,0.294
482.147,0.748,1.277,0.293
482.511,0.757,1.276,0.291
482.875,0.766,1.275,0.289
483.239,0.775,1.273,0.287
483.603,0.784,1.272,0.285
483.967,0.793,1.269,0.284
484.331,0.803,1.267,0.282
484.695,0.812,1.264,0.28
485.058,0.822,1.262,0.279
485.422,0.831,1.258,0.277
485.786,0.841,1.255,0.276
486.149,0.851,1.251,0.275
486.513,0.861,1.247,0.273
486.877,0.871,1.243,0.272
487.24,0.881,1.239,0.271
487.603,0.891,1.234,0.27
487.967,0.902,1.229,0.269
488.33,0.912,1.224,0.268
488.693,0.923,1.219,0.267
489.057,0.933,1.214,0.266
489.42,0.944,1.208,0.265
489.783,0.954,1.202,0.264
490.146,0.965,1.196,0.263
490.509,0.976,1.19,0.262
490.872,0.986,1.184,0.262
491.235,0.997,1.178,0.261
491.598,1.008,1.171,0.26
491.961,1.018,1.165,0.26
492.324,1.029,1.158,0.259
492.687,1.039,1.152,0.259
493.05,1.05,1.145,0.259
493.412,1.06,1.139,0.258
493.775,1.071,1.132,0.258
494.138,1.081,1.125,0.258
494.5,1.091,1.118,0.257
494.863,1.101,1.111,0.257
495.225,1.111,1.105,0.257
495.588,1.121,1.098,0.257
495.95,1.131,1.091,0.257
496.312,1.14,1.084,0.257
496.675,1.149,1.077,0.257
497.037,1.158,1.07,0.258
497.399,1.167,1.063,0.258
497.761,1.176,1.056,0.258
498.123,1.184,1.049,0.258
498.486,1.193,1.042,0.259
498.848,1.201,1.035,0.259
499.21,1.208,1.028,0.259
499.572,1.216,1.021,0.26
499.933,1.223,1.014,0.26
500.295,1.23,1.007,0.261
500.657,1.237,1,0.262
501.019,1.243,0.993,0.262
501.381,1.249,0.985,0.263
501.742,1.255,0.978,0.264
502.104,1.261,0.971,0.264
502.466,1.266,0.963,0.265
502.827,1.272,0.956,0.266
503.189,1.277,0.948,0.267
503.55,1.281,0.941,0.268
503.911,1.286,0.934,0.269
504.273,1.29,0.926,0.27
504.634,1.294,0.918,0.272
504.995,1.297,0.911,0.273
505.357,1.301,0.903,0.274
505.718,1.304,0.895,0.276
506.079,1.307,0.887,0.277
506.44,1.31,0.879,0.278
506.801,1.312,0.87,0.28
507.162,1.315,0.862,0.282
507.523,1.317,0.854,0.283
507.884,1.319,0.845,0.285
508.245,1.322,0.836,0.286
508.606,1.324,0.827,0.288
508.967,1.325,0.819,0.29
509.327,1.327,0.81,0.292
509.688,1.329,0.8,0.294
510.049,1.33,0.791,0.296
510.409,1.332,0.782,0.298
510.77,1.333,0.772,0.3
511.13,1.334,0.763,0.302
511.491,1.336,0.753,0.304
511.851,1.337,0.744,0.306
512.212,1.338,0.734,0.308
512.572,1.339,0.724,0.311
512.932,1.341,0.714,0.313
513.293,1.342,0.704,0.315
513.653,1.343,0.694,0.318
514.013,1.344,0.684,0.321
514.373,1.345,0.674,0.323
514.733,1.346,0.664,0.326
515.093,1.348,0.654,0.329
515.453,1.349,0.644,0.331
515.813,1.35,0.634,0.334
516.173,1.352,0.624,0.337
516.533,1.354,0.614,0.34
516.892,1.355,0.604,0.343
517.252,1.357,0.595,0.346
517.612,1.359,0.585,0.349
517.972,1.361,0.575,0.352
518.331,1.363,0.565,0.355
518.691,1.366,0.556,0.358
519.05,1.369,0.546,0.361
519.41,1.371,0.537,0.365
519.769,1.374,0.527,0.368
520.129,1.378,0.518,0.371
520.488,1.381,0.509,0.375
520.847,1.385,0.5,0.378
521.206,1.389,0.491,0.381
521.566,1.393,0.482,0.385
521.925,1.398,0.473,0.389
522.284,1.402,0.465,0.392
522.643,1.407,0.457,0.396
523.002,1.413,0.449,0.399
523.361,1.418,0.441,0.403
523.72,1.424,0.433,0.407
524.079,1.43,0.426,0.411
524.438,1.436,0.418,0.415
524.797,1.442,0.411,0.418
525.155,1.449,0.404,0.422
525.514,1.456,0.397,0.426
525.873,1.463,0.39,0.43
526.231,1.47,0.383,0.434
526.59,1.478,0.377,0.438
526.948,1.486,0.37,0.442
527.307,1.494,0.364,0.447
527.665,1.502,0.358,0.451
528.024,1.51,0.353,0.455
528.382,1.519,0.347,0.46
528.74,1.527,0.342,0.464
529.099,1.536,0.336,0.468
529.457,1.545,0.331,0.473
529.815,1.555,0.326,0.477
530.173,1.564,0.321,0.482
530.531,1.573,0.317,0.486
530.889,1.582,0.313,0.491
531.247,1.591,0.308,0.495
531.605,1.6,0.304,0.5
531.963,1.609,0.3,0.505
532.321,1.618,0.296,0.51
532.679,1.627,0.293,0.515
533.036,1.635,0.289,0.519
533.394,1.643,0.286,0.524
533.752,1.651,0.283,0.529
534.109,1.659,0.28,0.534
534.467,1.666,0.277,0.539
534.824,1.672,0.274,0.544
535.182,1.678,0.271,0.549
535.539,1.684,0.269,0.554
535.897,1.688,0.266,0.559
536.254,1.692,0.264,0.565
536.611,1.695,0.262,0.57
536.969,1.697,0.26,0.575
537.326,1.698,0.258,0.58
